Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J5,52271-0679,52271-0679,139.762000,-89.390000,0.000000,top
J8,USB_B_Micro,USB_Micro-B_Molex-105017-0001,183.729000,-51.623500,180.000000,top
Q1,2N7002,SOT-23,86.611500,-88.281000,90.000000,top
R1,10K,R_0603_1608Metric,98.298000,-54.635500,90.000000,top
R2,10K,R_0603_1608Metric,105.562400,-74.294900,270.000000,top
R3,10K,R_0603_1608Metric,149.733000,-89.941500,270.000000,top
R4,10K,R_0603_1608Metric,152.019000,-89.916000,270.000000,top
R5,10k,R_0603_1608Metric,88.239500,-91.694000,0.000000,top
R6,100K,R_0603_1608Metric,119.888000,-106.578500,270.000000,top
R7,332k,R_0603_1608Metric,89.408000,-71.399300,270.000000,top
R8,61k9,R_0603_1608Metric,89.408000,-74.752100,270.000000,top
R9,332k,R_0603_1608Metric,89.509600,-84.404100,270.000000,top
R10,10R 1%,R_0603_1608Metric,117.983000,-106.578500,270.000000,top
R11,90k9,R_0603_1608Metric,92.278100,-75.387200,0.000000,top
R12,90k9,R_0603_1608Metric,92.354500,-88.265000,0.000000,top
R13,32k4,R_0603_1608Metric,118.491000,-101.092000,0.000000,top
R14,31K6,R_0603_1608Metric,99.390100,-76.403200,180.000000,top
R15,10K,R_0603_1608Metric,95.732500,-75.387200,180.000000,top
R16,31k6,R_0603_1608Metric,105.384500,-86.207600,180.000000,top
R17,10k,R_0603_1608Metric,95.783500,-88.265000,180.000000,top
R18,60R,R_0603_1608Metric,95.377000,-63.017500,90.000000,top
R19,60R,R_0603_1608Metric,95.377000,-59.918500,90.000000,top
R20,100k,R_0603_1608Metric,91.059000,-90.906500,90.000000,top
R21,76K8,R_0603_1608Metric,99.390300,-74.523600,0.000000,top
R22,76K8,R_0603_1608Metric,99.491900,-87.274400,0.000000,top
U1,STM32L4R9ZITx,LQFP-144_20x20mm_P0.5mm,165.295000,-71.125500,0.000000,top
U2,USBLC6-2SC6,SOT-23-6,184.089000,-57.701000,90.000000,top
U3,STLD40D,DFN-8-1EP_3x3mm_P0.65mm_EP1.55x2.4mm,123.317000,-104.521000,0.000000,top
U4,TPS54160DGQR,SOP50P490X110-11N,93.827600,-72.440800,0.000000,top
U5, ,SOP50P490X110-11N,93.916500,-85.471000,0.000000,top
U6,SN65HVD231DR,SOIC-8_3.9x4.9mm_P1.27mm,100.838000,-61.468000,180.000000,top
U7,AT25SF161-SHD-T,SO-8_3.9x4.9mm_P1.27mm,200.342500,-66.230500,0.000000,top
U8,24AA02E48T-I/OT,SOT-23-5,158.834000,-89.728000,180.000000,top
Y1,X322516MLB4SI,Crystal_SMD_3225-4Pin_3.2x2.5mm,145.161000,-70.993000,180.000000,top
Y2,Q13FC1350000400,Crystal_SMD_MicroCrystal_CC7V-T1A-2Pin_3.2x1.5mm,151.892000,-58.146000,180.000000,top
